id,direction,name,type,cost,lag_quarters,full_effects
M1,Транспорт,Выделенные полосы для автобусов,Район,18,2,"T1:+6;T2:+9"
M2,Транспорт,Умные светофоры (адаптивное управление),Город,22,2,"T1:+4;B2:+3"
M3,Транспорт,Линия ЛРТ / расширение,Район,30,4,"T1:+16;T2:+20;E2:+4"
M4,Экология,Парк / сквер,Район,15,2,"E1:+12;E2:+3;B1:+2"
M5,Экология,Перевод частного сектора на чистое топливо,Район,25,3,"E2:+14;C1:+4"
M6,Экология,Городская программа озеленения и ветрозащитных полос,Город,20,4,"E1:+5;E2:+3"
M7,Соцсфера,Школа + детсад (модульное строительство),Район,24,3,S1:+16
M8,Соцсфера,Центр семейного здоровья / поликлиника,Район,20,3,S2:+14
M9,Соцсфера,Дворовые спорт-хабы,Район,10,1,"S1:+3;S2:+3;B1:+3"
M10,Безопасность,Освещение и камеры (расширение Safe City),Район,12,1,"B1:+12;B2:+2"
M11,Безопасность,Безопасные переходы и школьные зоны,Район,10,1,"B2:+12;T1:-2"
M12,Сервисы,Единая цифровая платформа обращений,Город,14,1,C2:+5
M13,Сервисы,Модернизация тепло- и водосетей,Район,28,4,"C1:+18;E2:+2"
M14,Сервисы,Аварийные бригады ЖКХ + раннее оповещение,Город,16,1,"C1:+5;C2:+2"
