code,direction,name,meaning_100_0
T1,Транспорт,Разгрузка дорог,"100 = нет пробок в час пик; 0 = стоит всё"
T2,Транспорт,Доступность общественного транспорта,"100 = все жители в 500 м от остановки с интервалом ≤10 мин"
E1,Экология,Озеленение,"100 = ≥20 м² зелени на жителя"
E2,Экология,Качество воздуха,"100 = зимой AQI ≤50; 0 = хронический смог"
S1,Соцсфера,Школы и детсады,"100 = 100% нормативной потребности, без 2-й смены"
S2,Соцсфера,Поликлиники и первичная медпомощь,100 = норматив на жителя выполнен полностью
B1,Безопасность,Безопасность улиц,"100 = освещение и камеры везде, минимум происшествий"
B2,Безопасность,Безопасность дорожного движения,100 = минимум ДТП с пострадавшими
C1,Сервисы,Надёжность ЖКХ,100 = нет аварий отопления/воды за год
C2,Сервисы,Скорость решения обращений жителей,100 = все обращения закрыты в срок
